record_id,author_id,author_name,party,area_id,area_name,area_state,exec_posts,service_posts,start_date,end_date
1257,2721,LIOW TIONG LAI,BN - MCA,938.0,P.089 Bentong,Pahang,Menteri Kesihatan,nan,08/03/2008,03/04/2013
1258,2721,LIOW TIONG LAI,BN - MCA,938.0,P.089 Bentong,Pahang,Menteri Pengangkutan,nan,05/05/2013,07/04/2018
1259,2769,TERESA KOK SUH SIM,DAP,971.0,P.122 Seputeh,W.P. Kuala Lumpur,nan,nan,08/03/2008,03/04/2013
1260,2769,TERESA KOK SUH SIM,DAP,971.0,P.122 Seputeh,W.P. Kuala Lumpur,nan,nan,05/05/2013,07/04/2018
1261,2769,TERESA KOK SUH SIM,PH - DAP,971.0,P.122 Seputeh,W.P. Kuala Lumpur,nan,nan,09/05/2018,10/10/2022
1262,2769,TERESA KOK SUH SIM,PH,971.0,P.122 Seputeh,W.P. Kuala Lumpur,nan,nan,19/11/2022,
1263,2778,SHAZIMAN BIN ABU MANSOR,BN - UMNO,982.0,P.133 Tampin,Negeri Sembilan,Menteri Kerja Raya,nan,08/03/2008,03/04/2013
1264,2778,SHAZIMAN BIN ABU MANSOR,BN - UMNO,982.0,P.133 Tampin,Negeri Sembilan,nan,nan,05/05/2013,07/04/2018
1265,2789,CHUA TIAN CHANG @ TIAN CHUA,PKR,964.0,P.115 Batu,W.P. Kuala Lumpur,nan,nan,08/03/2008,03/04/2013
1266,2789,CHUA TIAN CHANG @ TIAN CHUA,PKR,964.0,P.115 Batu,W.P. Kuala Lumpur,nan,nan,05/05/2013,07/04/2018
1267,2797,MUHYIDDIN BIN MOHD. YASSIN,BN - UMNO,992.0,P.143 Pagoh,Johor,Timbalan Perdana Menteri Dan Menteri Pelajaran,nan,08/03/2008,03/04/2013
1268,2797,MUHYIDDIN BIN MOHD. YASSIN,BN - UMNO,992.0,P.143 Pagoh,Johor,nan,nan,05/05/2013,24/06/2016
1269,2797,MUHYIDDIN BIN MOHD. YASSIN,PPBM,992.0,P.143 Pagoh,Johor,nan,nan,24/06/2016,07/04/2018
1270,2797,MUHYIDDIN BIN MOHD. YASSIN,BERSATU,992.0,P.143 Pagoh,Johor,nan,nan,09/05/2018,10/10/2022
1271,2797,MUHYIDDIN BIN MOHD. YASSIN,PN,992.0,P.143 Pagoh,Johor,nan,nan,19/11/2022,
1272,2857,RONALD KIANDEE,BN - UMNO,1032.0,P.183 Beluran,Sabah,nan,Timbalan Yang di-Pertua Dewan Rakyat,08/03/2008,03/04/2013
1273,2857,RONALD KIANDEE,BN - UMNO,1032.0,P.183 Beluran,Sabah,nan,nan,05/05/2013,07/04/2018
1274,2857,RONALD KIANDEE,BN - UMNO,1032.0,P.183 Beluran,Sabah,Menteri Pertanian dan Industri Makanan,nan,09/05/2018,12/12/2018
1275,2857,RONALD KIANDEE,BEBAS,1032.0,P.183 Beluran,Sabah,Menteri Pertanian dan Industri Makanan,nan,12/12/2018,14/03/2019
1276,2857,RONALD KIANDEE,BERSATU,1032.0,P.183 Beluran,Sabah,Menteri Pertanian dan Industri Makanan,nan,14/03/2019,10/10/2022
1277,2857,RONALD KIANDEE,PN,1032.0,P.183 Beluran,Sabah,nan,nan,19/11/2022,
1278,2861,BUNG MOKTAR BIN RADIN,BN - UMNO,1036.0,P.187 Kinabatangan,Sabah,nan,nan,08/03/2008,03/04/2013
1279,2861,BUNG MOKTAR BIN RADIN,BN - UMNO,1036.0,P.187 Kinabatangan,Sabah,nan,nan,05/05/2013,07/04/2018
1280,2861,BUNG MOKTAR BIN RADIN,BN - UMNO,1036.0,P.187 Kinabatangan,Sabah,nan,nan,09/05/2018,10/10/2022
1281,2861,BUNG MOKTAR BIN RADIN,BN,1036.0,P.187 Kinabatangan,Sabah,nan,nan,19/11/2022,
