name,honour_title,seat_name,role,attendance,membership
Rubiah Binti Haji Wang,Datuk Hajah Rubiah Binti Haji Wang,Kota Samarahan,Timbalan Menteri Kemajuan Desa Dan Wilayah,1,mp
Siti Aminah Binti Aching,Datuk Hajah Siti Aminah Binti Aching,Beaufort,Timbalan Menteri Perladangan Dan Komoditi,1,mp
Arthur Joseph Kurup,Datuk Arthur Joseph Kurup,Pensiangan,"Timbalan Menteri Sains, Teknologi Dan Inovasi",1,mp
Ramkarpal Singh A/L Karpal Singh,Tuan Ramkarpal Singh A/L Karpal Singh,Bukit Gelugor,Timbalan Menteri Di Jabatan Perdana Menteri (Undang-Undang Dan Reformasi Institusi),1,mp
Aiman Athirah Binti Sabu,Puan Aiman Athirah Binti Sabu,Sepang,"Timbalan Menteri Pembangunan Wanita, Keluarga Dan Masyarakat",1,mp
Huang Tiong Sii,Dato' Sri Huang Tiong Sii,Sarikei,"Timbalan Menteri Sumber Asli, Alam Sekitar Dan Perubahan Iklim",1,mp
Teo Nie Ching,Puan Teo Nie Ching,Kulai,Timbalan Menteri Komunikasi dan Digital,1,mp
Lim Hui Ying,Puan Lim Hui Ying,Tanjong,Timbalan Menteri Pendidikan,1,mp
Adam Adli Bin Abd Halim,Tuan Adam Adli Bin Abd Halim,Hang Tuah Jaya,Timbalan Menteri Belia Dan Sukan,1,mp
Mustapha @ Mohd Yunus Bin Sakmud,Tuan Mustapha @ Mohd Yunus Bin Sakmud,Sepanggar,Timbalan Menteri Sumber Manusia,1,mp
Lukanisman Bin Awang Sauni,Tuan Lukanisman Bin Awang Sauni,Sibuti,Timbalan Menteri Kesihatan,1,mp
Wilson Ugak Anak Kumbong,Datuk Wilson Ugak Anak Kumbong,Hulu Rajang,"Timbalan Menteri di Jabatan Perdana Menteri (Hal Ehwal Sabah, Sarawak dan Tugas-tugas Khas)",1,mp
Zahir Bin Hassan,Tuan Zahir Bin Hassan,Wangsa Maju,,1,mp
Yuneswaran A/L Ramaraj,Tuan Yuneswaran A/L Ramaraj,Segamat,,1,mp
Jonathan Bin Yasin,Datuk Jonathan Bin Yasin,Ranau,,1,mp
Matbali Bin Musah,Datuk Matbali Bin Musah,Sipitang,,1,mp
Suhaimi Bin Nasir,Datuk Suhaimi Bin Nasir,Libaran,,1,mp
Shahelmey Bin Yahya,Datuk Ir. Shahelmey Bin Yahya,Putatan,,1,mp
Sh Mohmed Puzi Bin Sh Ali,Dato' Sri Sh Mohmed Puzi Bin Sh Ali,Pekan,,1,mp
Aminolhuda Bin Hassan,Tuan Haji Aminolhuda Bin Hassan,Sri Gading,,1,mp
Manndzri Bin Nasib,Tuan Manndzri Bin Nasib,Tenggara,,1,mp
Tan Kar Hing,Tuan Tan Kar Hing,Gopeng,,1,mp
Chow Yu Hui,Tuan Chow Yu Hui,Raub,,1,mp
Tan Hong Pin,Tuan Tan Hong Pin,Bakri,,1,mp
Andi Muhammad Suryady Bin Bandy,Datuk Andi Muhammad Suryady Bin Bandy,Kalabakan,,1,mp
Ramanan Ramakrishnan,Dato' Ramanan Ramakrishnan,Sungai Buloh,,1,mp
